user_id,pc_throttle,pc_brake,t-b,pc_steering,t-b-s,pc_speed,pc_lap_distance
1,1,0,1,0.00185937,0.99814063,53.6314,124.959
1,1,0,1,0.00185937,0.99814063,53.6314,124.959
1,1,0,1,0.00185937,0.99814063,53.9067,126.839
1,1,0,1,0.00185937,0.99814063,54.1737,128.64
1,1,0,1,0.00185937,0.99814063,54.1737,128.64
1,1,0,1,0.00185937,0.99814063,54.4261,130.362
1,1,0,1,0.00111567,0.99888433,54.7018,132.271
1,1,0,1,0.000371963,0.999628037,54.7018,132.271
1,1,0,1,0.000371963,0.999628037,54.9644,134.098
1,1,0,1,0.000371963,0.999628037,55.2224,136.029
1,1,0,1,0.000743703,0.999256297,55.2224,136.029
1,1,0,1,0.000743703,0.999256297,55.4736,137.781
1,1,0,1,0.000743703,0.999256297,55.72,139.725
1,1,0,1,0.000743703,0.999256297,55.72,139.725
1,1,0,1,0.000743703,0.999256297,55.987,141.59
1,1,0,1,0.000743703,0.999256297,56.2444,143.46
1,1,0,1,0.000743703,0.999256297,56.2444,143.46
1,1,0,1,0.000743703,0.999256297,56.4939,145.338
1,1,0,1,0.000371963,0.999628037,56.741,147.226
1,1,0,1,0.000371963,0.999628037,56.741,147.226
1,1,0,1,0.000371963,0.999628037,56.986,149.121
1,1,0,1,0.000371963,0.999628037,57.2283,151.023
1,1,0,1,0.000371963,0.999628037,57.2283,151.023
1,1,0,1,0.000371963,0.999628037,57.4698,152.935
1,1,0,1,0.000371963,0.999628037,57.4698,152.935
1,1,0,1,0.000371963,0.999628037,57.7247,154.95
1,1,0,1,0.000371963,0.999628037,57.9528,156.781
1,1,0,1,0.000371963,0.999628037,57.9528,156.781
1,1,0,1,0.000371963,0.999628037,58.1928,158.813
1,1,0,1,0,1,58.444,160.757
1,1,0,1,0,1,58.444,160.757
1,1,0,1,-0.000743814,0.999256186,58.6684,162.708
1,1,0,1,-0.000743814,0.999256186,58.8314,164.079
1,1,0,1,-0.000743814,0.999256186,59.0627,166.042
1,1,0,1,-0.000743814,0.999256186,59.0627,166.042
1,1,0,1,-0.000743814,0.999256186,59.3751,168.607
1,1,0,1,-0.000743814,0.999256186,59.3751,168.607
1,1,0,1,-0.000743814,0.999256186,59.5968,170.587
1,1,0,1,-0.000557944,0.999442056,59.8294,172.577
1,1,0,1,-0.000557944,0.999442056,59.8294,172.577
1,1,0,1,-0.000557944,0.999442056,60.0737,174.675
1,1,0,1,-0.000557944,0.999442056,60.2209,175.977
1,1,0,1,-0.000557944,0.999442056,60.2209,175.977
1,1,0,1,-0.000148785,0.999851215,60.5203,178.69
1,1,0,1,0.00052057,0.99947943,60.7407,180.71
1,1,0,1,0.00052057,0.99947943,60.7407,180.71
1,1,0,1,0.000743703,0.999256297,60.9583,182.736
1,1,0,1,0.000743703,0.999256297,60.9583,182.736
1,1,0,1,0.000743703,0.999256297,61.1698,184.77
1,1,0,1,0.000743703,0.999256297,61.3814,186.81
1,0,0,0,0.000743703,-0.000743703,61.3393,188.139
1,0,0,0,0.000743703,-0.000743703,61.3393,188.139
1,0,0,0,0.000743703,-0.000743703,61.2402,190.283
1,1,0,1,0.000743703,0.999256297,61.2641,192.322
1,1,0,1,0.000743703,0.999256297,61.2641,192.322
1,1,0,1,0.000743703,0.999256297,61.3907,194.366
1,1,0,1,0.00137604,0.99862396,61.3907,194.366
1,1,0,1,0.00137604,0.99862396,61.7416,197.032
1,1,0,1,0.00148763,0.99851237,62.0683,199.197
1,1,0,1,0.00148763,0.99851237,62.0683,199.197
1,1,0,1,0.00148763,0.99851237,62.3761,201.27
1,1,0,1,0.00148763,0.99851237,62.5669,203.353
1,1,0,1,0.00148763,0.99851237,62.5669,203.353
1,1,0,1,0.00148763,0.99851237,62.7597,205.441
1,1,0,1,0.00148763,0.99851237,62.9449,207.537
1,1,0,1,0.00148763,0.99851237,63.0732,208.902
1,1,0,1,0.00148763,0.99851237,63.0732,208.902
1,1,0,1,0.00148763,0.99851237,63.2781,211.113
1,1,0,1,0.00148763,0.99851237,63.4696,213.224
1,1,0,1,0.00148763,0.99851237,63.4696,213.224
1,1,0,1,0.00130165,0.99869835,63.6623,215.345
1,1,0,1,0.00130165,0.99869835,63.8614,217.47
1,1,0,1,0.00130165,0.99869835,63.8614,217.47
1,1,0,1,0.00130165,0.99869835,64.1254,220.353
1,1,0,1,0.00130165,0.99869835,64.1254,220.353
1,1,0,1,0.00148763,0.99851237,64.3194,222.492
1,1,0,1,0.00185937,0.99814063,64.3194,222.492
1,1,0,1,0.00185937,0.99814063,64.5163,224.641
1,1,0,1,0.00319821,0.99680179,64.7155,226.794
1,1,0,1,0.00483463,0.99516537,64.9126,228.954
1,1,0,1,0.00483463,0.99516537,64.9126,228.954
1,1,0,1,0.00606188,0.99393812,65.108,231.122
1,1,0,1,0.00706596,0.99293404,65.108,231.122
1,1,0,1,0.00706596,0.99293404,65.3082,233.296
1,1,0,1,0.00706596,0.99293404,65.4467,234.821
1,1,0,1,0.00621067,0.99378933,65.6424,237.006
1,1,0,1,0.00621067,0.99378933,65.6424,237.006
1,1,0,1,0.00520659,0.99479341,65.8364,239.197
1,1,0,1,0.00260329,0.99739671,66.0304,241.395
1,1,0,1,0.00260329,0.99739671,66.0304,241.395
1,1,0,1,0,1,66.2867,244.371
1,1,0,1,-0.00130165,0.99869835,66.2867,244.371
1,1,0,1,-0.00130165,0.99869835,66.4823,246.584
1,1,0,1,-0.000669466,0.999330534,66.6768,248.804
1,1,0,1,0,1,66.6768,248.804
1,1,0,1,0,1,66.8653,251.03
1,1,0,1,0.00639665,0.99360335,67.0465,253.26
1,1,0,1,0.0076239,0.9923761,67.1691,254.825
1,1,0,1,0.00728914,0.99271086,67.1691,254.825
1,1,0,1,0.00728914,0.99271086,67.3593,257.067
1,1,0,1,0.00572725,0.99427275,67.5331,259.316
1,1,0,1,0.00397933,0.99602067,67.5331,259.316
1,1,0,1,0.00397933,0.99602067,67.7236,261.571
1,1,0,1,0,1,67.7236,261.571
1,1,0,1,0,1,67.967,264.625
1,1,0,1,-0.00148763,0.99851237,68.1419,266.893
1,1,0,1,-0.00148763,0.99851237,68.1419,266.893
1,1,0,1,-0.00119012,0.99880988,68.3179,269.17
1,1,0,1,-0.000743814,0.999256186,68.4958,271.451
1,1,0,1,-0.000743814,0.999256186,68.4958,271.451
1,1,0,1,0,1,68.6685,273.737
1,1,0,1,0.00111567,0.99888433,68.7797,275.227
1,1,0,1,0.00130165,0.99869835,68.7797,275.227
1,1,0,1,0.00130165,0.99869835,68.9604,277.638
1,1,0,1,0.00111567,0.99888433,69.1286,279.942
1,1,0,1,0.00111567,0.99888433,69.1286,279.942
1,1,0,1,0.000371963,0.999628037,69.356,283.057
1,1,0,1,0,1,69.356,283.057
1,1,0,1,0,1,69.5168,285.256
1,1,0,1,-0.000185981,0.999814019,69.6894,287.695
1,1,0,1,-0.000185981,0.999814019,69.6894,287.695
1,1,0,1,-0.000185981,0.999814019,69.8525,290.021
1,1,0,1,-0.000185981,0.999814019,70.008,292.354
1,1,0,1,-0.000185981,0.999814019,70.008,292.354
1,1,0,1,-0.000185981,0.999814019,70.175,294.69
1,1,0,1,-0.000185981,0.999814019,70.3415,297.149
1,1,0,1,-0.000185981,0.999814019,70.3415,297.149
1,1,0,1,-0.000185981,0.999814019,70.4996,299.497
1,1,0,1,-0.000185981,0.999814019,70.645,301.731
1,1,0,1,-0.000185981,0.999814019,70.645,301.731
1,0.8,0,0.8,-0.000185981,0.799814019,70.7953,304.206
1,0,0,0,-0.000185981,-0.000185981,70.7953,304.206
1,0,0,0,-0.000185981,-0.000185981,70.6379,306.561
1,1,0,1,-0.000185981,0.999814019,70.5791,308.796
1,1,0,1,-0.000185981,0.999814019,70.5791,308.796
1,1,0,1,-0.000185981,0.999814019,70.6199,311.263
1,1,0,1,-0.000185981,0.999814019,70.7618,313.619
1,1,0,1,-0.000185981,0.999814019,70.7618,313.619
1,1,0,1,-0.000185981,0.999814019,70.9947,315.982
1,1,0,1,-0.000185981,0.999814019,71.2443,318.345
1,1,0,1,-0.000185981,0.999814019,71.2443,318.345
1,1,0,1,-0.000371963,0.999628037,71.4226,320.722
1,1,0,1,-0.000371963,0.999628037,71.4226,320.722
1,1,0,1,-0.000371963,0.999628037,71.5567,323.213
1,1,0,1,-0.000371963,0.999628037,71.6984,325.601
1,1,0,1,0,1,71.6984,325.601
1,1,0,1,0,1,71.8324,327.98
1,1,0,1,0.000371963,0.999628037,71.9645,330.376
1,1,0,1,0,1,71.9645,330.376
1,1,0,1,0,1,72.0961,332.777
1,1,0,1,0,1,72.1808,334.326
1,1,0,1,0,1,72.1808,334.326
1,1,0,1,0,1,72.3528,337.577
1,1,0,1,0.00148763,0.99851237,72.4829,340.096
1,1,0,1,0.00148763,0.99851237,72.4829,340.096
1,1,0,1,0.00148763,0.99851237,72.6044,342.393
1,1,0,1,0.00148763,0.99851237,72.73,344.936
1,1,0,1,0.00148763,0.99851237,72.73,344.936
1,1,0,1,0.00130165,0.99869835,72.853,347.347
1,1,0,1,0.00130165,0.99869835,72.853,347.347
1,1,0,1,0.00130165,0.99869835,72.9711,349.655
